sku,name,brand,price,price_text
03319510100,"SKK STD DUTY IND. CASTOR WHEEL RIGID 4"" LOAD 70KG [4002100]",SKK,4.3056,$4.3056
03319520075,"SKK STD DUTY IND.CASTOR WHEEL SWIVEL 3"" LOAD 50KG [4001075]",SKK,3.5648,$3.5648
033195200752,"SKK STD DUTY IND.CASTOR WHEEL BRAKE 3"" LOAD 50KG [4003075]",SKK,5.0926,$5.0926
03319520100,"SKK STD DUTY IND.CASTOR WHEEL SWIVEL 4"" LOAD 70KG [4001100]",SKK,5.4630,$5.4630
033195201002,"SKK STD DUTY IND.CASTOR WHEEL BRAKE 4"" LOAD 70KG [4003100]",SKK,6.8056,$6.8056
03319570160,"SKK HEAVY DUTY SCAFFOLD CASTOR 6"" LOAD 230KG [1153-160]",SKK,17.5000,$17.5000
03319570200,"SKK HEAVY DUTY SCAFFOLD CASTOR 8"" LOAD 280KG [1153-200]",SKK,27.5926,$27.5926
03319580102,"SKK HEAVY DUTY PU CASTOR RIGID 4"" LOAD 230KG,[1041-100]",SKK,17.5000,$17.5000
03319580126,"SKK HEAVY DUTY PU CASTOR RIGID 5"" LOAD 280KG [1041-125]",SKK,19.4907,$19.4907
03319580152,"SKK HEAVY DUTY PU CASTOR RIGID 6"" LOAD 360KG [1041-152]",SKK,22.5463,$22.5463
03319580202,"SKK HEAVY DUTY PU CASTOR RIGID 8"" LOAD 460KG [1041-200]",SKK,29.1667,$29.1667
03319590102,"SKK HEAVY DUTY PU CASTOR SWIVEL 4"" LOAD 230KG [1043-100]",SKK,19.3981,$19.3981
033195901021,"SKK HEAVY DUTY PU CASTOR WITH BRAKE 4"" LOAD 230KG [1044-100]",SKK,21.5741,$21.5741
03319590126,"SKK HEAVY DUTY PU CASTOR SWIVEL 5"" LOAD 280KG [1043-125]",SKK,22.6389,$22.6389
033195901261,"SKK HEAVY DUTY PU CASTOR WITH BRAKE 5"" LOAD 280KG [1044-125]",SKK,25.0000,$25.0000
03319590152,"SKK HEAVY DUTY PU CASTOR SWIVEL 6"" LOAD 360KG [1043-152]",SKK,25.3241,$25.3241
033195901521,"SKK HEAVY DUTY PU CASTOR WITH BRAKE 6"" LOAD 360KG [1044-152]",SKK,28.9352,$28.9352
